"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0.036750722,0.044949898,0.054838886,0.050595674,0.0533694,0.063547469,0.068373298,0.074735676,0.075266848,0.087440061,0.092020796,0.096369065,0.093654856,0.100104697,0.113582327,0.138243314,0.147047097,0.149151275,0.160970035,0.17511219,0.182185009,0.163250569,0.180328123,0.182114539,0.201333051,0.203646908,0.176385918,0.173173173,0.164160818,0.155155662,0.156982333,0.166465302,0.165957478,0.174844594,0.186136844,0.177616993,0.183321081,0.170758958,0.164550774,0.164352195,0.172826605,0.170085783,0.169317675,0.176381361,0.175070679,0.179853598,0.175809243,0.189185714,0.175930072,0.174029214,0.193131964,0.206145472,0.211005079,0.224988097,0.219151645,0.228175285,0.21691163,0.221150412,0.245479349,0.229171433,0.232404443,0.240125407,0.251010529,0.216627663,0.211644118,0.199106071,0.21751988,0.201590153,0.20175027,0.222971693,0.24895661,0.287945857,0.30557834,0.298966176,0.312659171,0.335120502,0.309577175,0.2891915,0.300398438,0.297457062,0.281878101,0.268423452,0.257681713,0.270639669,0.239515081,0.247870951,0.247841865,0.277159412,0,0.405053684,0.510530107,0.719062324,1.127462164,1.695135877,0,0,2.504377618,0,0,0
0.017466019,0.023265598,0.031236263,0.033191744,0.035863299,0.046200114,0.05004249,0.048586457,0.053048274,0.054225557,0.057611943,0.056315472,0.058341426,0.065421477,0.069045514,0.075212967,0.07940413,0.079930076,0.087666754,0.08880379,0.095432796,0.088636113,0.087529469,0.116010305,0.127398261,0.114923434,0.105774185,0.108989309,0.107956911,0.109541664,0.115604941,0.109354049,0.112281344,0.105684449,0.129394763,0.134084124,0.133809406,0.156469267,0.184254808,0.161539869,0.162845261,0.143335346,0.158613298,0.166737485,0.175539005,0.169439279,0.183595892,0.169696377,0.165498904,0.155560361,0.157727619,0.173455956,0.155183782,0.164602601,0.150912585,0.13217742,0.126586572,0.122554579,0.124116029,0.124753435,0.124163397,0.123730177,0.12109824,0.123973412,0.123566003,0.133706085,0.128599229,0.131089112,0.123063649,0.134947205,0.13508384,0.146621777,0.152210842,0.155157669,0.181781504,0.181215536,0.197075297,0.231653406,0.209719615,0.198894505,0.211424177,0.22913415,0.215267928,0.206084798,0.19582022,0.194611105,0.18496436,0.176414136,0.172212948,0.187799737,0.182511492,0.532771528,0.524668974,0.826125279,0.873026395,1.82253778,1.885133897,0,22.62171396,0
0.024148814,0.044338103,0.068750723,0.079855405,0.09266242,0.098003077,0.113127666,0.121254026,0.126088302,0.141704425,0.149845054,0.153563456,0.162876767,0.182970942,0.180462152,0.171088296,0.166192228,0.172515349,0.189028379,0.180131402,0.195054081,0.214115339,0.238345067,0.241357194,0.251364829,0.244017546,0.272548573,0.297642181,0.2952539,0.305303896,0.298552288,0.281981164,0.282336033,0.293932077,0.288771825,0.281592176,0.288888362,0.276619632,0.265509646,0.264011469,0.250124532,0.253173706,0.255722869,0.247655686,0.241968874,0.25939912,0.26464634,0.258776999,0.253189098,0.264670435,0.271409781,0.270203184,0.278116762,0.281740643,0.265023268,0.279210712,0.291961718,0.274094121,0.302001602,0.286771535,0.268245128,0.273078166,0.269714253,0.257328261,0.261156303,0.269214809,0.27589638,0.270625982,0.290295444,0.297833747,0.28461779,0.311192582,0.304022852,0.328605093,0.384547516,0.324210058,0.311292227,0.343201843,0.336711474,0.319597385,0.315654722,0.300285515,0.305933821,0.334331443,0.341449126,0.346605372,0.342360157,0.361044746,0.362091145,0.330928846,0.329226077,0.332634533,0.330542839,0.360194697,0.42063553,0.569657876,0,0.79493075,37.54554677,0
0.039312061,0.05508493,0.057622221,0.052348379,0.064347595,0.068963955,0.082974716,0.092024507,0.102227222,0.094580104,0.089109705,0.102062945,0.102041633,0.113380933,0.133223152,0.137372868,0.141243535,0.132671784,0.141815159,0.160249174,0.163528009,0.166844372,0.169574291,0.166687614,0.164554225,0.179788649,0.174829067,0.17928566,0.196401044,0.193167675,0.229434623,0.256106671,0.31098834,0.299911969,0.280717538,0.297852314,0.304922094,0.319957897,0.307404178,0.310386502,0.29132965,0.291704136,0.316951565,0.322875897,0.313139483,0.291032705,0.308838932,0.276315238,0.303067167,0.279654707,0.311390034,0.307775406,0.317543884,0.287277849,0.3113634,0.310423068,0.29438627,0.259056624,0.268978258,0.242784035,0.264271285,0.245039136,0.261575921,0.255926081,0.263585211,0.256476912,0.285518462,0.281890859,0.255322103,0.265299953,0.221270318,0.211964599,0.209641315,0.230099514,0.243201479,0.244259351,0.266131468,0.271686292,0.290095637,0.291677453,0.296698306,0.322825929,0.353680626,0.374934606,0.420826778,0.42208562,0.442597748,0.468980786,0.536919575,0.552225291,0.567134748,0.747037835,0.732861474,0.683897817,0.686680974,0.749739001,0,0.729670953,0,0
0.02272808,0.033854946,0.045783188,0.055100904,0.064825289,0.070769496,0.087510462,0.09859475,0.090630188,0.098897631,0.114573749,0.115192696,0.11389652,0.117672383,0.120059661,0.124599188,0.119526193,0.127125701,0.13904623,0.131646822,0.139054172,0.141422708,0.134549117,0.139024878,0.140981632,0.143571377,0.146603863,0.150841782,0.149023964,0.152660801,0.152831355,0.1498908,0.15751544,0.152855244,0.156569872,0.162932204,0.155701835,0.163045422,0.176456984,0.173748582,0.180536987,0.194315287,0.195300918,0.198537507,0.225273308,0.226774568,0.226064833,0.212532827,0.22305949,0.222864491,0.222565161,0.221269716,0.223965426,0.224303294,0.215371193,0.223626689,0.226400354,0.219012883,0.221798406,0.201639888,0.202671878,0.188463918,0.198871596,0.21995841,0.272555251,0.267501019,0.254983501,0.248237073,0.244466308,0.278499511,0.279308647,0.284407222,0.29466587,0.326793412,0.308032615,0.295230501,0.344711694,0.352065371,0.335807489,0.330979708,0.315931532,0.31390975,0.299214541,0.299105763,0.318138946,0.342904993,0.362254629,0.360616397,0.350670349,0.394668504,0.392877422,0.428298478,0.422211859,0.41843578,0.41183012,0.410453833,0.431768864,0,0,0
0.036194469,0.062620066,0.075946416,0.080833628,0.089871228,0.096414167,0.118524403,0.13151369,0.141257012,0.159580756,0.210065457,0.21016058,0.233411516,0.244296417,0.26803665,0.234292824,0.216911796,0.216411239,0.207391328,0.20198407,0.216017832,0.19328756,0.210172624,0.2227104,0.254378876,0.264241581,0.230737457,0.208390834,0.230559041,0.259469385,0.26982608,0.26410114,0.281561666,0.280129947,0.267478273,0.275812732,0.305162504,0.345464825,0.317028528,0.311867024,0.317448723,0.320525421,0.330764669,0.332913982,0.345797315,0.363693099,0.361120048,0.331859233,0.392760649,0.374398659,0.370699241,0.438516793,0.392953225,0.378140797,0.396102047,0.365549147,0.379492193,0.346282188,0.343448438,0.375072468,0.398221754,0.430377359,0.388614471,0.433376584,0.415119224,0.338447925,0.333424913,0.371240027,0.296481784,0.31080821,0.287956604,0.296098379,0.298962098,0.282714683,0.262893268,0.260964645,0.282543095,0.308802916,0.288059418,0.294755342,0.304382191,0.276548839,0.278749185,0.287941547,0.288402771,0.377657469,0.489384276,0.512517334,0.530459874,0.410259488,0.384949352,0.481405435,0.484580523,0.559714946,0.552873303,0,0,3.408200203,0,0
0.057971631,0.069290932,0.08624794,0.100574946,0.104772122,0.116863327,0.131755625,0.137868707,0.154956797,0.160030197,0.16244238,0.174219182,0.206807985,0.210170354,0.220765506,0.236592926,0.250182549,0.262669192,0.256350438,0.262425561,0.260917431,0.236752114,0.247405937,0.237204037,0.250721296,0.252985027,0.263139807,0.283913761,0.289670962,0.272067378,0.287045737,0.301457364,0.284831984,0.316131197,0.318324369,0.328541368,0.327262068,0.310574613,0.306793853,0.322455113,0.340184758,0.347199687,0.330577405,0.348158859,0.345805502,0.332040897,0.323457992,0.313448317,0.303743328,0.302249303,0.305428036,0.277225659,0.270139473,0.276207972,0.27534995,0.263784425,0.267669918,0.269006195,0.277645788,0.273777748,0.288047865,0.303165064,0.28747341,0.279938177,0.279116471,0.2746249,0.268789734,0.29068,0.284623423,0.278286297,0.286945414,0.310818108,0.292007517,0.28364141,0.283289556,0.299185348,0.309795951,0.328786649,0.331314173,0.366763514,0.369169713,0.407439026,0.419896053,0.459152756,0.472499868,0.505094252,0.461304255,0.477178076,0.588572155,0.634156245,0.813957361,0.940171073,0,1.057534794,1.040092746,0,1.045906583,0,0,0
0.036886226,0.047678083,0.05657632,0.065969663,0.067797605,0.070615662,0.094812133,0.101886741,0.100991717,0.114962434,0.10417537,0.105846881,0.126130689,0.153229238,0.167983953,0.181980661,0.171421712,0.214984048,0.208568453,0.202193669,0.190444074,0.171501258,0.164159651,0.164150454,0.172707447,0.174247579,0.182655909,0.18890862,0.196532013,0.199012789,0.178336948,0.162190581,0.168647036,0.168350873,0.174438106,0.179705805,0.18297295,0.194615258,0.195682567,0.202716486,0.199505668,0.201560553,0.191338538,0.190044116,0.193995756,0.211621806,0.21144753,0.228248131,0.224979556,0.225363109,0.220895614,0.224789224,0.227547606,0.224645308,0.222404454,0.236483286,0.228585114,0.225511384,0.224883945,0.227011042,0.250526909,0.229918551,0.234138766,0.218398283,0.223047309,0.217282963,0.214236101,0.227343628,0.220289583,0.218036962,0.217360816,0.213200281,0.21217837,0.209781762,0.216578459,0.220148267,0.217250963,0.222064161,0.214667617,0.224291627,0.203989191,0.192347219,0.199864082,0.211628284,0.222630807,0.223129504,0.236105686,0.231557923,0.224605292,0.316768543,0.357111335,0.370986261,0.587420838,0.556080509,0.635409273,0.661931151,0.688755571,0,0,0
0.022005798,0.031225781,0.045138976,0.049231593,0.061060317,0.077217086,0.083548125,0.083600248,0.075363736,0.076720092,0.085968848,0.08062414,0.093806438,0.097862938,0.090189246,0.088083102,0.092163284,0.099420008,0.105404626,0.122914452,0.126910275,0.123786137,0.13186307,0.123600736,0.123115636,0.120574459,0.131335972,0.133044889,0.131164806,0.128546702,0.124509255,0.123624969,0.124253058,0.124988406,0.132088249,0.137967493,0.134594624,0.136247091,0.151453501,0.150807515,0.151908181,0.161236032,0.177990656,0.177193224,0.182440364,0.196930661,0.205405623,0.215211318,0.230031018,0.249653373,0.244963038,0.239781408,0.249346209,0.252025098,0.246269398,0.251808146,0.254936734,0.251400872,0.249933526,0.239115237,0.230471803,0.214856538,0.217950267,0.22244236,0.221726534,0.227042631,0.22312533,0.212242133,0.200647506,0.198115102,0.193097551,0.2057298,0.207768016,0.208692411,0.215480231,0.207897437,0.213444864,0.219438199,0.212865876,0.209580197,0.219452133,0.218284889,0.209246383,0.208546675,0.213087661,0.207238313,0.212370253,0.215575021,0.461496268,0.543076525,0.657132088,0.983586141,1.025870345,1.104814103,1.20783321,3.152887069,5.741611444,7.291031557,9.394367319,0
0.031595591,0.052720959,0.056490914,0.062971404,0.065417814,0.074835316,0.084808141,0.100460894,0.109626057,0.11086663,0.108427938,0.107466889,0.112107109,0.126878995,0.12142254,0.122520768,0.12107807,0.123423891,0.13172274,0.128061237,0.126314903,0.139284977,0.142285559,0.154032554,0.15488291,0.151225432,0.152759892,0.153445922,0.157637146,0.155264659,0.153578691,0.162280681,0.167662257,0.162908067,0.16429744,0.174789588,0.174258996,0.173245192,0.193024045,0.182819275,0.185592018,0.194249931,0.215860329,0.2054443,0.208345652,0.203171134,0.213436956,0.194214423,0.191714486,0.181434696,0.173791364,0.184523513,0.190792459,0.185660552,0.178777819,0.180459691,0.190061161,0.173982125,0.173389126,0.175218248,0.182812242,0.179842826,0.176951533,0.180419214,0.20139921,0.215303808,0.236996068,0.218826966,0.232761087,0.240736957,0.265045257,0.257755065,0.268749894,0.300703752,0.326485993,0.307951745,0.330819914,0.329800504,0.332167171,0.338155391,0.328632665,0.324781367,0.339295818,0.336231867,0.34075586,0.296331693,0.307470496,0,0.341933824,0.35605002,0.36003158,0.461257594,0.469737665,0.506823072,0,0.604864278,0.673327925,0,0,0
