"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0.032794287,-0.016812388,-0.037882486,0.018898688,0.067029709,-0.090645816,-0.016937206,-0.012235006,0.097435453,0.027848042,-0.042417701,0.027376678,0.038720635,-0.064098545,0.097780542,0.147081728,0.032189052,-0.067469033,0.000986542,0.00297999,0.143149564,-0.046766716,0.041638034,0.142228547,0.045199898,0.009207631,0.013482652,0.06852494,0.019703289,0.067158818,0.069452478,0.108601683,0.03344053,0.084979127,-0.029458945,0.050252324,0.031046224,0.103636069,-0.027800884,0.032362179,0.013153779,0.046834964,-0.102733065,0.020880028,0.085008497,0.081948912,0.087994631,0.027227174,0.261048176,0.266618348,0.294364277,0.090235158,0.156754896,0.015116215,0.111348021,0.062403811,0.193178075,0.079542526,0.214702407,0.309794717,-0.120238393,0.054866523,0.074820478,0.210474191,0.149272221,0.105573374,0.12131785,-0.029886151,-0.042455479,0.204215358,-0.040014706,0.162690796,-0.135524688,0.387148496,-0.06515153,-0.060510379,0.111946353,0.150973853,-0.038781084,0.359410933,0.597539128,0.296809903,0.224928997,-0.261347348,0.390443522,-0.279836718,0.304921282,0.080017318,0,-0.636738137,-0.331583243,-0.542038102,0.953896035,1.129902277,0,0,1.489520948,0,0,0
-0.016162367,-0.016593318,0.009725598,0.011609534,0.012150052,-0.039150465,0.010353629,0.064033273,-0.063503038,-0.03703942,0.053909747,0.099787986,0.023403051,0.096915399,0.036288583,0.011535461,0.076532223,0.06774965,0.012571992,0.073723427,-0.034995727,0.00191879,0.073588663,0.121569677,0.077497147,-0.001196807,-0.009911935,0.081300421,-0.041809465,0.025180902,0.091125466,0.09880726,0.049776434,0.015366168,0.176887525,-0.070867155,0.188727883,0.13710826,0.122822381,0.023116321,-0.011772172,0.227460483,-0.124636356,0.212438851,0.114955022,0.100844321,0.163727167,0.02513089,-0.038523552,-0.008717937,-0.072303461,0.211744711,0.05332258,0.057686451,0.046910484,0.047615017,-0.039069877,0.239383051,0.130038779,0.230594354,0.201016507,-0.006616261,0.006158817,0.156276938,0.075131336,0.167811108,-0.02122341,0.257276089,0.331351154,0.319317072,0.324141056,0.245965909,0.079846357,-0.004874674,0.310911917,0.228068189,0.223595541,0.267348721,0.105243247,0.212506873,-0.02226448,0.16756963,0.187095936,0.141323054,0.305905894,0.141897124,0.094918111,-0.093786089,0.102704578,0.35627792,0.105316404,-0.061209082,0.246064383,2.198258024,-0.586156591,-1.542489293,1.547676891,0,17.56507983,0
-0.015958766,-0.030240181,0.043568994,-0.062702751,-0.021261164,0.123837304,0.03484763,-0.013097436,0.164675106,0.002622182,0.093179695,0.118334179,0.031035347,-0.031308757,0.066566012,0.029269744,0.030702717,0.00399921,0.140459843,-0.109884623,0.131057648,0.215015116,0.076773534,-0.089841183,-0.097385216,0.006335854,0.083971535,0.091902699,0.147264056,-0.037531056,0.070145563,-0.00492761,0.088680233,0.034187225,0.004653602,0.117367649,-0.040030336,0.008095749,-0.013688312,0.214832427,0.179532943,0.182593939,-0.086387709,-0.002178427,-0.055492456,0.033305756,0.047728286,0.083772335,0.226405754,-0.022642836,0.016302625,0.205795624,-0.032920969,0.18660338,0.070428575,0.009807624,-0.003290184,0.05887606,-0.070583861,0.160303789,0.037341074,0.347777094,0.120701742,0.158188556,0.150202461,0.050369654,-0.06367011,0.175052858,0.200848509,-0.01908709,-0.022998087,0.195663045,0.048668352,0.410795245,0.109152583,0.363997482,0.016285295,-0.135500414,-0.098293733,0.251380205,0.186359854,0.296589759,-0.390271503,0.019275398,0.118132089,-0.089273018,0.057228079,0.156123723,-0.147989667,0.205594595,0.681270931,0.192817534,-0.005439191,0.501532971,-0.479311371,0.255449418,0,1.648552396,13.72568008,0
0.039033527,0.020707348,-0.020368141,0.015211594,0.054976462,-0.064773678,-0.019702813,0.116235802,0.012952377,0.00199714,0.059533897,0.05806381,0.040002172,-0.013324595,0.16617379,-0.045735579,0.064889876,-0.043410973,-0.001697926,0.085300649,0.096779114,0.102859843,-0.070304772,0.013449716,0.150888378,0.084333304,-0.007573741,-0.012209289,0.08781552,0.006438082,0.021135338,0.071348775,0.073146771,-0.000120061,0.050950751,0.160763986,0.142242796,0.065313754,0.073207631,-0.039683753,-0.006070548,-0.042770385,0.148796901,-0.055132983,0.010307082,0.071511342,-0.128011125,0.20152799,0.141137449,0.056232672,0.111396566,0.235324001,-0.065473202,0.16518768,-0.196535881,-0.010477673,0.27187956,0.212046807,0.165917988,0.164776404,0.185282717,0.169641541,0.09751633,-0.045100905,0.345200543,0.110534617,0.008995837,-0.065634539,0.137246818,0.216880109,0.300072556,0.230176666,-0.028545787,0.299656395,0.327374369,0.019694657,0.172670122,-0.017202998,0.09102494,0.33784947,0.111788467,-0.154714846,0.431399885,0.185650186,0.228755035,-0.40451075,0.044416854,-0.166358404,-0.353955305,0.362081868,0.867850379,-0.434215497,0.036486269,0.505812098,0.636372072,0.106632974,0,0.127299952,0,0
-0.032616581,-0.025893415,-0.020213822,0.031778073,0.020278242,-0.113887055,0.05677334,0.084822726,0.020674116,-0.020089418,-0.053351692,0.008778095,0.088951695,-0.013714791,0.071059705,-0.027880769,0.189039469,0.08358553,0.018706854,0.000798449,-0.064821713,0.105746685,-0.069116642,0.133899835,0.031041128,0.119079744,0.130887213,0.153050623,-0.033972062,0.223045852,0.023029979,-0.010410539,0.158432639,0.164793358,-0.020694974,0.22427189,0.003949719,0.163009948,-0.050166216,0.090769862,0.076824013,0.094304064,-0.046491464,0.181329537,0.119485626,0.076783941,0.21599944,0.168964924,0.197451098,0.149586478,0.017994681,0.236634276,-0.142528438,0.092124884,0.144259342,-0.065153794,0.106841886,0.1413676,0.107798289,-0.028008398,0.089017045,0.101592388,0.360675305,0.329325097,0.074082742,0.140893346,0.248769908,0.082384911,0.035232847,0.523156293,0.087250836,-0.088152786,0.083371577,0.18208545,-0.145140587,-0.237369016,0.378497103,0.112982934,-0.059997511,-0.167923387,-0.053135537,0.092728816,0.06050045,-0.161773465,-0.162478181,0.445690784,0.101297158,0.038308751,-0.005843154,-0.261678506,0.263121251,0.163843161,-0.127041946,-0.107793234,-0.078239858,-0.027065833,-0.305184014,0,0,0
-0.023944913,-0.00105505,-0.045879173,0.043049226,-0.049772515,-0.013810813,-0.061946843,-0.071561682,-0.032225549,-0.102965596,-0.096662663,0.00243932,-0.011567945,0.011795398,-0.071111847,0.122405753,0.063619173,0.114690379,0.092348493,0.109541263,0.122331211,0.123197572,0.055571082,0.067299301,-0.094154549,0.231079658,0.101846535,0.164334415,-0.111005321,-0.004961829,0.22564511,-0.046814732,0.188991203,0.147308447,0.112930875,0.053305933,-0.20560179,0.069892239,0.195500237,0.340949829,-0.046693931,0.114591018,-0.099946793,0.277602929,0.133633818,-0.090102152,0.125530844,0.179652992,0.083648826,0.190656785,0.120297958,-0.012320309,0.281202596,0.106312059,0.062365378,0.160427319,-0.053174515,0.233348493,0.125076694,-0.155828306,-0.04434885,0.339840867,0.436166185,-0.141996351,0.459707196,0.227603924,0.00809724,0.241967293,0.357932142,-0.079275823,0.103306415,0.101114111,0.205565859,0.09719047,0.439659644,0.119549818,0.250365942,-0.12148061,0.230037386,0.091997353,0.109471864,0.168620683,-0.416169628,0.174330889,0.234085788,0.235423404,0.222814419,-0.372964749,-0.183721344,0.184314346,0.324485525,0.073256261,0.640347228,0.583885523,-0.362290395,0,0,-2.161204614,0,0
-0.136055946,0.062672142,-0.024091994,0.108125738,-0.101740508,0.002282333,0.016233453,0.028407045,0.042953151,-0.051383846,-0.019196068,-0.060224552,-0.065644176,-0.055991372,-0.013892432,-0.011098889,0.041829309,-0.120070344,0.01000236,-0.016779756,0.061353893,0.196367077,0.093538278,0.00576076,-0.023458926,0.062212541,0.0541681,-0.000356533,-0.007532605,0.101459101,0.090947056,0.14011785,0.062836011,-0.027136942,0.140732485,0.305234297,0.04540131,0.056293057,0.253898062,0.045505193,0.202018326,0.337277846,0.171264262,0.145015603,-0.100448663,0.281824413,0.179850245,0.042782938,0.077083713,-0.064725616,-0.144232659,0.374839733,0.289178071,0.147303099,0.205749668,0.111164304,0.180787518,0.20690721,0.541601281,-0.127895655,0.04765589,0.403918362,-0.129987334,0.135669597,0.05682152,0.023202665,0.005602483,0.165988378,0.340602013,-0.051302454,0.081184997,0.203985431,-0.130166122,0.231892342,-0.065587438,-0.087233167,-0.004463239,-0.153846548,0.307046978,-0.009705871,-0.175788646,0.54250333,0.00243023,0.007743572,0.035378904,0.119579572,0.875723039,-0.664359666,-0.562141928,-0.377377828,0.847947182,1.096298036,0,0.975838415,1.039519561,0,-0.501497881,0,0,0
-0.07785324,-0.030811189,0.063038901,-0.035694782,0.110767574,-0.040171517,0.083345485,0.066385762,-0.033112898,0.028943337,0.042891626,0.015113078,0.042447217,0.097349077,0.121742652,-0.013686917,-0.015193146,0.118036964,0.001385613,-0.019756408,0.017492865,0.013701435,-0.066674494,-0.061042952,0.067389099,-0.039959919,-0.018766256,0.162386924,0.058559394,-0.074663069,0.139982211,0.191984339,-0.068922412,0.080624106,-0.105710459,0.112477149,0.086422507,-0.100286497,-0.041484212,0.266282977,0.197240315,-0.063041151,0.165133777,0.274367546,-0.076002206,0.065362322,-0.035885794,0.196324415,0.049422336,0.035851704,0.185344309,0.131310682,0.105588135,0.090646155,0.338739512,0.133346843,0.081016308,-0.098613293,-0.032354642,0.214432981,0.153797396,0.079312565,0.16942588,-0.004432851,0.150338126,-0.106738391,-0.049694499,0.336559702,-0.042269406,0.132751301,0.178761867,-0.00788279,0.167622425,-0.139670849,0.131096273,0.300920432,0.038177426,0.242144548,0.179766064,0.184538206,0.127974433,-0.154320113,0.053055884,-0.030995206,-0.373874718,0.486610703,0.20722268,-0.177564124,0.203533295,0.641086037,-0.514149927,-0.105419205,0.592957735,0.169917199,-0.275205338,0.080609898,-0.086630975,0,0,0
0.01670574,-0.009518469,-0.010465375,-0.009077316,0.122640994,0.039826918,-0.054978347,0.060617706,0.0714595,0.015515389,0.035278303,0.001282314,0.049800577,-0.043190905,0.08754746,-0.018691915,0.038852955,0.092932118,0.035180752,0.134691192,-0.035590984,0.047758342,0.150363983,-0.08570881,0.110698871,0.033963008,0.068280376,0.039669371,0.014585333,0.028320007,0.060883924,0.029703487,-0.031875849,0.046453388,0.083887501,0.107029117,0.121739392,0.036263898,0.225028423,-0.026302044,0.065861526,0.103639509,0.153418589,0.10419611,0.112175866,0.083120707,0.109351079,0.243618575,0.191990333,0.205227731,0.149504027,0.067508382,0.130878012,0.081019985,0.103731886,0.158205167,0.147737807,0.0564017,-0.008913819,0.213245648,-0.11191325,0.038536664,-0.020376232,0.067477237,0.183966981,0.065075084,0.111369384,-0.103370697,0.028533645,-0.062257498,0.121575308,0.116709686,-0.041609245,-0.068252319,0.017153826,0.04186307,-0.017858254,0.101239926,-0.098482315,-0.087448042,0.004893516,0.149288254,0.289741347,0.287165086,-0.069919581,0.155796074,0.300004165,0.335238009,1.421608403,-0.436319644,0.499485669,1.185576231,0.270489784,0.347951821,0.224049057,-1.107739488,-3.765852969,-6.396651412,-11.35634129,0
0.050201155,0.045697636,0.027468248,-0.053810368,-0.008346656,-0.002316669,-0.043448111,0.11966217,0.022099355,-0.054331712,-0.022241219,0.011765688,0.051684674,0.012209442,0.014555833,0.039095592,0.071122119,-0.034348614,0.045006162,0.098042637,0.13515663,0.12144444,0.027509578,-0.011111169,0.005392938,0.026077986,0.154985824,-0.06439481,0.054072522,0.033239218,0.003100486,0.027849603,-0.009553599,0.221905477,0.002167321,0.061414518,-0.089241904,-0.017236372,0.164769822,-0.070087948,0.050069723,0.094405551,0.029899157,0.146768268,0.107089182,0.140170261,-0.026223032,0.094242875,0.080048999,0.107873566,0.03084834,0.042993261,0.125606518,-0.069695664,0.17111084,-0.020794363,0.008483625,0.09085007,0.050953121,0.252423303,0.263331935,0.348856782,0.189868474,-0.057397888,0.339483573,0.046018578,0.263399434,0.048800263,-0.028320448,-0.151848973,-0.236014277,0.111659787,0.211043819,0.015030568,0.138429434,-0.001749314,0.120827702,-0.08603049,0.042411853,-0.088159827,0.622056319,0.115599196,0.059236567,-0.008067441,0.006926369,0.037931636,0.231793067,0,0.031977333,-0.037803096,0.18125443,-0.605333485,0.198491537,0.433518425,0,0.384828135,1.822328443,0,0,0
