<<<<<<< HEAD
"V1","V2","V3"
0.027854343,0.028655129,0.025891459
0.033743588,0.031003543,0.029930429
0.030064313,0.026926978,0.027777385
0.028776346,0.026776971,0.026867095
0.032399798,0.033336262,0.026965141
0.031605634,0.027818631,0.026747964
0.029453092,0.028325681,0.027354497
0.02743025,0.029229111,0.030992366
0.031409712,0.034418715,0.029851837
0.029677221,0.02924444,0.025920635
0.03572879,0.075285076,0.033570017
0.03060018,0.031217995,0.025134397
0.029630685,0.034741651,0.032601045
0.025245283,0.026412378,0.027421703
0.026871728,0.029872365,0.027285744
0.179257665,0.034299737,0.069145196
0.027280661,0.028065596,0.026139629
0.026111267,0.028090567,0.025315765
0.031686654,0.032045968,0.026446818
0.028953649,0.027283521,0.025130106
0.029251938,0.026578403,0.026489963
0.026537514,0.024310435,0.02369826
0.033969712,0.031846185,0.026915365
0.036174733,0.03023567,0.036395564
0.030905445,0.029594781,0.027494575
0.029610055,0.030960219,0.028598362
0.027174096,0.031490742,0.022493628
0.030420511,0.034038966,0.02572839
0.031509495,0.030706835,0.028643476
0.026893631,0.025815704,0.024507922
0.026908676,0.028274792,0.029876417
0.027415879,0.032138637,0.026897856
0.033836363,0.030516547,0.029034533
0.032553787,0.030677184,0.028774834
0.03175694,0.0262574,0.025340271
0.028218534,0.029748028,0.02705351
0.031732232,0.032021865,0.027627313
0.031448833,0.029820972,0.027267719
0.028421803,0.038852497,0.027084849
0.025082276,0.025342413,0.023468207
0.025953439,0.028499064,0.023447999
0.02804686,0.027533623,0.024161761
0.025960329,0.024734137,0.024967132
0.027588225,0.029945695,0.026820157
0.027252133,0.036768191,0.027198554
0.028847653,0.028878184,0.026173582
0.028487091,0.022923408,0.024820589
0.036359582,0.026906266,0.028048666
0.030206646,0.031233902,0.033836975
0.0246858,0.027576222,0.023539143
0.027051693,0.030389569,0.026892104
0.029147866,0.025763658,0.025054524
0.028563879,0.026152077,0.024405693
0.024189442,0.024760319,0.02672579
0.028928562,0.02832352,0.025661356
0.029715917,0.028509319,0.026875304
0.02643613,0.024054776,0.026529475
0.030328141,0.037294343,0.024718816
0.147400912,0.085685703,0.024955214
0.035029594,0.031157224,0.03009369
0.027801939,0.039571846,0.028101074
0.030014335,0.026330068,0.029619372
0.028354904,0.036541521,0.029570449
0.027487219,0.027862231,0.023931882
0.02969651,0.033323995,0.02428537
0.025853148,0.02982956,0.026237739
0.028990748,0.030082869,0.025696347
0.0499193,0.050987151,0.035606623
0.026268507,0.031180027,0.024643395
0.030268172,0.030680155,0.02615174
0.293919144,0.037475453,0.246829718
0.033723375,0.029161763,0.026286804
0.027422847,0.025190688,0.025196607
0.028160711,0.031689795,0.022228692
0.027882665,0.032930928,0.028152502
0.030458822,0.035671423,0.026908476
0.025486834,0.027337354,0.026625444
0.026989286,0.029542386,0.024832408
0.03040641,0.034322295,0.027409903
0.027806118,0.026579345,0.029675013
0.027094303,0.025908115,0.029721327
0.028385521,0.033666858,0.029244018
0.027157683,0.029092834,0.02865282
0.027744106,0.02620732,0.023112967
0.032279622,0.036593449,0.030732181
0.027469465,0.021834697,0.022345748
0.028110915,0.031751147,0.029455648
0.024980445,0.024323504,0.024041665
0.031765093,0.03509877,0.024442905
0.02710288,0.032773344,0.025712272
0.027622739,0.033924729,0.028920229
0.030910107,0.034575793,0.031124377
0.030017544,0.030409241,0.030242785
0.02813446,0.032295732,0.024167956
0.025968954,0.023017601,0.026075795
0.036026289,0.032459126,0.028407116
0.033496586,0.02987619,0.0440401
0.029842037,0.025496504,0.02684219
0.028048777,0.029591505,0.027259639
0.028302707,0.027773156,0.025264532
0.14758817,0.117703768,0.259323009
0.028448158,0.028054698,0.027591804
0.031001469,0.029473376,0.032551961
0.030052267,0.024883291,0.023196677
0.026814331,0.030006223,0.025700982
0.027612038,0.029055396,0.024790792
0.035131888,0.030560082,0.026850713
0.032219243,0.03246936,0.026685679
0.033036867,0.042522176,0.031169583
0.029341992,0.032528529,0.025970078
0.025497118,0.03146789,0.024588688
0.035154113,0.031102158,0.027010152
0.035277054,0.096095272,0.088641384
0.025997721,0.028653597,0.024772494
0.589354672,5.354148772,5.802027178
0.029163908,0.033296874,0.03126485
0.031905193,0.032498799,0.02860436
0.030445985,0.02904106,0.027694563
0.024624078,0.030100809,0.0298841
0.025741085,0.030325585,0.025830813
0.029332442,0.030700029,0.029639966
0.030888164,0.028208454,0.025012451
0.028639957,0.029811784,0.027658403
0.025359895,0.027859672,0.025910253
0.030150342,0.027007415,0.027952788
0.031264611,0.032301998,0.025639924
0.030181138,0.026986496,0.02599686
0.026578897,0.023881447,0.025565057
0.028613332,0.033002291,0.02448126
0.03098265,0.032161273,0.024391
0.028155358,0.033606781,0.032700257
0.028032307,0.038425291,0.042831122
0.025295328,0.03406817,0.023159212
0.027144742,0.027277529,0.031122494
0.028887903,0.031476306,0.027925058
0.027005042,0.030068441,0.029660053
0.026297088,0.02861145,0.022974397
0.028011794,0.02466703,0.024532669
0.025973271,0.028757287,0.022933553
0.02350457,0.029350155,0.025746298
0.023763105,0.025323852,0.024047468
0.029074404,0.031903594,0.028308925
0.028413325,0.0342676,0.026944122
0.030070232,0.028156751,0.02651125
0.031734598,0.028814563,0.027017049
0.028437093,0.026050955,0.025185856
0.029843093,0.030971577,0.02703971
0.030181476,0.029973181,0.027290503
0.033471896,0.039825023,0.0352083
0.03198317,0.02859257,0.02456522
0.029409045,0.035008162,0.029021315
0.030119481,0.028324392,0.024538994
0.029616653,0.030997434,0.022728935
0.026529902,0.028888596,0.028364743
0.025157792,0.033139121,0.024160604
0.030222637,0.02546788,0.025092983
0.026957867,0.023967717,0.025792715
0.029700672,0.032705569,0.02671526
0.031990366,0.038909812,0.029265112
0.039851055,0.033826552,0.030048294
0.028862881,0.029309686,0.028605467
0.030902899,0.031767573,0.02678793
0.043408926,0.057358883,0.028671168
0.030079256,0.028637919,0.028855466
0.02918079,0.032017583,0.029672669
0.026606255,0.024603559,0.02545394
0.027269109,0.027275671,0.024306946
0.029471404,0.031940504,0.026895213
0.029684605,0.03042435,0.024759302
0.028158625,0.025798074,0.027030945
0.03012927,0.024828111,0.025491008
6.253978871,2.303411018,5.91200516
0.029010454,0.029838763,0.024883694
0.026592234,0.028415685,0.023170424
0.027808481,0.027285364,0.026190782
0.028214863,0.032816164,0.026303156
0.029867799,0.029442802,0.026170982
0.026156193,0.025766887,0.027193791
0.029728819,0.028562157,0.024200838
0.027275268,0.02730472,0.025389068
0.029551347,0.026430183,0.029664017
0.02708541,0.031428769,0.023909809
0.030477013,0.028535247,0.028026551
0.031932264,0.030980896,0.025727831
