"V1","V2","V3"
0.142344876,0.110580371,0.048925588
0.142646923,0.102293281,0.053585408
0.122526323,0.129439002,0.041726454
0.118900051,0.157891594,0.039791403
0.146608257,0.110140558,0.041239357
0.104639332,0.096067597,0.043793847
0.105172375,0.081971103,0.043793229
0.112169366,0.10625793,0.040573616
0.152933305,0.124445786,0.042329116
0.120369259,0.092888868,0.041377311
0.132956325,0.884334122,0.324347039
0.104927277,0.090716346,0.034395569
0.11079077,0.078582541,0.047832978
0.164167684,0.189508454,0.040708076
0.124301937,0.11610213,0.03721485
0.62971982,0.09918203,0.22493759
0.15618931,0.118870922,0.041533361
0.101910503,0.096654498,0.034391214
0.12725318,0.141435516,0.038554838
0.116286325,0.097106479,0.043568046
0.115337226,0.085632806,0.032443209
0.120362078,0.111440214,0.043596625
0.111987165,0.081470976,0.038944833
0.127565128,0.100083312,0.071454361
0.138907798,0.116827632,0.043456832
0.108339709,0.093055379,0.04059269
0.119389667,0.100457939,0.037698676
0.118369954,0.084725893,0.035160267
0.136677382,0.138367965,0.041070373
0.117467942,0.121416793,0.035099853
0.164294861,0.140765802,0.039515937
0.130331774,0.134256639,0.037997024
0.125321626,0.153959122,0.037440593
0.111180355,0.133574422,0.037844143
0.173332159,0.151394017,0.049898939
0.138573511,0.100474507,0.041624575
0.125669383,0.183112456,0.043246085
0.143443019,0.128540201,0.040192661
0.131198921,0.113865918,0.040215291
0.118476318,0.114338901,0.034999615
0.118170214,0.115035384,0.039501829
0.118787073,0.086252607,0.036802541
0.140415076,0.130625808,0.038079528
0.116823793,0.104022387,0.0356387
0.17135221,0.216078954,0.046484041
0.137362026,0.097549546,0.044754207
0.127802595,0.128824792,0.032257418
0.120349462,0.093389523,0.040152776
0.134688647,0.11500984,0.046516591
0.129105008,0.115284008,0.040078904
0.120700276,0.092559504,0.041013584
0.129575969,0.197034274,0.037037975
0.114764386,0.111324679,0.040063327
0.169286239,0.139247922,0.051444544
0.105255711,0.093480967,0.033720657
0.120527344,0.152250892,0.044698863
0.128368794,0.087356721,0.038613039
0.124685399,0.13064164,0.037375481
0.243778511,0.180251122,0.045663994
0.102796949,0.109878727,0.043677369
0.095953861,0.075504369,0.036394058
0.113682074,0.133865868,0.051962985
0.118870637,0.09725258,0.042672509
0.095848694,0.080119109,0.034973626
0.126101597,0.09833969,0.040696438
0.123990856,0.131304137,0.036070955
0.126971436,0.131356187,0.044727779
0.11580428,0.153443662,0.083996118
0.120628481,0.099695451,0.056334065
0.110794536,0.106010483,0.035419952
1.141851241,0.186079873,0.987829608
0.113825517,0.111332899,0.04079487
0.125069615,0.131715706,0.038920684
0.106384769,0.079241761,0.040053949
0.115726068,0.151536958,0.035948794
0.12835809,0.103974106,0.041744368
0.09675885,0.109818375,0.035440323
0.12605395,0.107078291,0.035935908
0.119221725,0.092764405,0.042522397
0.115482306,0.122181617,0.037160897
0.117647881,0.12482706,0.040512146
0.122017113,0.094026748,0.039326674
0.119208186,0.087856426,0.043466881
0.129885753,0.139083469,0.040409
0.115151872,0.113688756,0.04185391
0.1138702,0.091950186,0.034310022
0.12414536,0.11459967,0.046950391
0.113846353,0.079675282,0.032547002
0.115477003,0.11745232,0.035975801
0.116248898,0.112668177,0.041130168
0.134536856,0.11515108,0.04948522
0.112669143,0.087338159,0.042461157
0.121288868,0.134448591,0.0460722
0.130605277,0.118839186,0.039610217
0.129088115,0.114826022,0.035846032
0.159097912,0.153397675,0.043898313
0.137430233,0.167919672,0.071309048
0.129765524,0.120326357,0.036423397
0.141820581,0.193984931,0.04042539
0.116380802,0.113333472,0.040085691
0.58035423,0.418666567,0.945643661
0.106509493,0.085674511,0.038887703
0.121942213,0.133575038,0.044967841
0.123973225,0.110687179,0.03796333
0.102271834,0.087838594,0.035782132
0.120394117,0.133897029,0.037301559
0.12391537,0.106139259,0.035316054
0.141039194,0.118368055,0.037448143
0.117153623,0.167391169,0.038327283
0.120391523,0.149075107,0.042579205
0.101109025,0.10470694,0.045765785
0.129059716,0.156350475,0.045801944
0.102935714,0.142046708,0.102503959
0.116883231,0.119603727,0.033394322
1.123470692,10.36337804,11.21490429
0.109981826,0.094115499,0.039149716
0.103114329,0.095059859,0.039455345
0.137861962,0.213370189,0.053864586
0.103792381,0.125447061,0.038952303
0.100908697,0.108479785,0.037368123
0.106821564,0.090516607,0.040010416
0.118538152,0.099160418,0.035049001
0.127124794,0.118033979,0.039706204
0.137931323,0.12438073,0.042893663
0.15094178,0.163333325,0.040118
0.13215276,0.130098604,0.038553352
0.102379336,0.075795812,0.042164157
0.113553876,0.100773855,0.037521944
0.122038585,0.126283113,0.035036783
0.13426422,0.136870952,0.037177797
0.110406182,0.101376316,0.042609379
0.137134921,0.155335013,0.124648172
0.127706734,0.098880712,0.042099649
0.141079491,0.142631391,0.048623569
0.099222642,0.097728302,0.041281778
0.123414033,0.11154542,0.04691953
0.138790881,0.146284711,0.033312025
0.13615194,0.153813454,0.035505635
0.127764239,0.157519133,0.038307702
0.138721808,0.128543931,0.037272035
0.132630559,0.145840979,0.038281125
0.123146924,0.100128227,0.041247339
0.131649363,0.137806365,0.041114886
0.143871567,0.113860676,0.039063195
0.108686485,0.085849335,0.033944728
0.187226138,0.228329566,0.035647832
0.129823584,0.122864663,0.039697639
0.118273667,0.111612429,0.039590642
0.107782857,0.106441998,0.041130337
0.138177574,0.120641703,0.043637192
0.12163738,0.111918886,0.038585781
0.136893831,0.129991575,0.037791147
0.107650955,0.095003036,0.036070321
0.102772861,0.096606718,0.037341584
0.136231382,0.13839126,0.038523756
0.111894026,0.116134634,0.043733641
0.251585838,0.41131567,0.053917624
0.101631828,0.089948625,0.038479542
0.128816367,0.110917661,0.038071357
0.108338725,0.143408554,0.03870518
0.140085929,0.129162806,0.04513247
0.134746976,0.13080918,0.04230414
0.341927667,0.53069287,0.065298343
0.113731885,0.098014964,0.039204669
0.128519143,0.102290684,0.044472477
0.173261594,0.176946847,0.044885878
0.129397604,0.12927237,0.032116563
0.123773976,0.156475322,0.039289628
0.138226361,0.107865641,0.037551543
0.122330263,0.092688772,0.043236154
0.105635268,0.084894364,0.035440403
2.411823491,0.896865073,2.29246915
0.130906,0.110973922,0.04382552
0.109134692,0.119814483,0.03274255
0.133290218,0.120982547,0.043796126
0.117561584,0.103070394,0.035377101
0.102771299,0.092807965,0.037586195
0.143128858,0.151271711,0.035666482
0.149586491,0.122706021,0.042746156
0.105538673,0.089630287,0.03847551
0.122680436,0.104288961,0.047915378
0.104156254,0.101954529,0.032467078
0.129940727,0.101900077,0.044037483
0.096830145,0.097771842,0.046822888
0.126991335,0.119161146,0.044893417
0.139608895,0.121444522,0.043290649
0.104779129,0.086595833,0.034122649
0.152634676,0.109289328,0.049729719
0.108234379,0.106517747,0.037231073
0.093060489,0.077196175,0.038692142
0.128841403,0.089520959,0.039638859
0.12451918,0.100571576,0.039857088
0.12677597,0.110373121,0.034011188
0.150939538,0.178508876,0.03510696
0.112963868,0.081605444,0.040024858
0.118042155,0.093556256,0.036767454
0.117858745,0.108043656,0.03981437
0.125070782,0.111355002,0.041959924
0.190656703,0.163278368,0.047916489
0.10574924,0.11259764,0.04011455
0.114829443,0.1121111,0.041263648
0.116989877,0.145302245,0.037473816
0.114778774,0.09652285,0.036281128
0.140687943,0.157557676,0.048762467
0.126224431,0.107364378,0.039417819
0.118965279,0.103664441,0.036375108
0.117756072,0.091682196,0.0338591
0.120395953,0.100312426,0.047822792
0.13506256,0.100697199,0.040736295
0.14229148,0.170749927,0.034359416
0.116051995,0.093348354,0.04087475
0.105489561,0.100609166,0.056695829
0.121698143,0.096412122,0.0394088
0.126430806,0.098989846,0.038384908
0.145140843,0.093858145,0.037546633
0.11199625,0.094027901,0.03723172
0.153962177,0.14446026,0.049484616
0.139451884,0.108187809,0.048791807
0.120159101,0.114195233,0.037520242
0.131615175,0.121414689,0.034252842
0.125559648,0.106558054,0.040364289
0.126375801,0.162227844,0.035000764
0.118350516,0.142118237,0.039258245
0.118502759,0.127972681,0.039884729
0.102818603,0.096990582,0.043884164
0.112163282,0.105770905,0.03237661
0.125632994,0.12090791,0.040732071
0.10446412,0.118576053,0.036980804
0.111336993,0.099472406,0.038509379
0.118291935,0.116145535,0.040162162
0.117903612,0.091920912,0.039515918
0.112814574,0.089483468,0.039509208
NA,NA,NA
0.140298686,0.157816423,0.044976687
0.107953919,0.092673847,0.036575629
0.152885957,0.186435896,0.045322001
0.114924547,0.097716985,0.034591014
0.114102657,0.111211633,0.036959078
